"rowid","close","open","highest","lowest","volume"
"1",5.1,3.5,1.4,0.2,40
"2",4.9,3,1.4,0.2,50
"3",4.7,3.2,1.3,0.2,45
"4",4.6,3.1,1.5,0.2,30
"5",5,3.6,1.4,0.2,25
"6",5.4,3.9,1.7,0.4,55
"7",4.6,3.4,1.4,0.3,45
"8",5,3.4,1.5,0.2,65
"9",4.4,2.9,1.4,0.2,25
"10",4.9,3.1,1.5,0.1,15
"11",5.4,3.7,1.5,0.2,16
"12",4.8,3.4,1.6,0.2,20
"1",5.1,3.5,1.4,0.2,40
"2",4.9,3,1.4,0.2,50
"3",4.7,3.2,1.3,0.2,45
"4",4.6,3.1,1.5,0.2,30
"5",5,3.6,1.4,0.2,25
"6",5.4,3.9,1.7,0.4,55
"7",4.6,3.4,1.4,0.3,45
"8",5,3.4,1.5,0.2,65
"9",4.4,2.9,1.4,0.2,25
"10",4.9,3.1,1.5,0.1,15
"11",5.4,3.7,1.5,0.2,16
"12",4.8,3.4,1.6,0.2,20
"1",5.1,3.5,1.4,0.2,40
"2",4.9,3,1.4,0.2,50
"3",4.7,3.2,1.3,0.2,45
"4",4.6,3.1,1.5,0.2,30
"5",5,3.6,1.4,0.2,25
"6",5.4,3.9,1.7,0.4,55
"7",4.6,3.4,1.4,0.3,45
"8",5,3.4,1.5,0.2,65
"9",4.4,2.9,1.4,0.2,25
"10",4.9,3.1,1.5,0.1,15
"11",5.4,3.7,1.5,0.2,16
"12",4.8,3.4,1.6,0.2,20
"10",4.9,3.1,1.5,0.1,15
"11",5.4,3.7,1.5,0.2,16
"12",4.8,3.4,1.6,0.2,20
"1",5.1,3.5,1.4,0.2,40
"2",4.9,3,1.4,0.2,50
"3",4.7,3.2,1.3,0.2,45
"4",4.6,3.1,1.5,0.2,30
"5",5,3.6,1.4,0.2,25
"6",5.4,3.9,1.7,0.4,55
"7",4.6,3.4,1.4,0.3,45
"8",5,3.4,1.5,0.2,65
"9",4.4,2.9,1.4,0.2,25
"10",4.9,3.1,1.5,0.1,15
"11",5.4,3.7,1.5,0.2,16
"12",4.8,3.4,1.6,0.2,20
"10",4.9,3.1,1.5,0.1,15
"11",5.4,3.7,1.5,0.2,16
"12",4.8,3.4,1.6,0.2,20
"1",5.1,3.5,1.4,0.2,40
"2",4.9,3,1.4,0.2,50
"3",4.7,3.2,1.3,0.2,45
"4",4.6,3.1,1.5,0.2,30
"5",5,3.6,1.4,0.2,25
"6",5.4,3.9,1.7,0.4,55
"7",4.6,3.4,1.4,0.3,45
"8",5,3.4,1.5,0.2,65
"9",4.4,2.9,1.4,0.2,25
"10",4.9,3.1,1.5,0.1,15
"11",5.4,3.7,1.5,0.2,16
"12",4.8,3.4,1.6,0.2,20
